tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,h49v3uctVNLzQ8BbYce16FqUaUbDBEXGZkITjiNrve8I7k-idWHChU3mAQ,0o0OoO,540,I,65,54,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,0bgZmmQ4jwgbKRBT7F0HYAjHrOZnrz4q_FJyfbz58lmTSkI,Gen G Quid,548,I,68,53,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,gUxlsBryEYybsOVlBXc5TfM07tCPHam1DdWvhWMw4AkQE9I,칼과 창 방패,688,I,73,56,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,-pb19a62p9ZmRppebLllbqFUQAjXH9Z6UGJgeu0gcgpsaxU,권 지 인,521,I,61,43,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,vYvL2YFxLhAmOCU2MPO077LOF1rIEE8P9BGSnXtPEokgesI,전상득,640,I,82,59,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,yengqeIR0gcJIowtGPsCPgzaaLX3gFqnI_kC4Sv2MrY5cD4,히히 못먹어,554,I,69,45,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,87NvQD2b49KdvoFpJ0csdbub5BW7JfHESb0fQFlKr-VDvw,huya jincanyi,508,I,53,33,False,False,True,True
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,fyOuYQCK9LjfUwzDXRaqtFZRF6Mtfx97hltTtctzrFWvpso,이 차가 식기전에,472,I,71,63,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,T4EdIIx3ticsQTXelAW9pKDRYXiQemAijIVvmoasSRSY-UM,달리기 왕,582,I,56,34,False,False,True,False
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,axwm8N5-mQ6uxZttPgqLR8al8AXujBhxZVyfanhroYJR6kz6,A glance,685,I,79,58,False,False,True,True
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,BRXrJkoozSnqSSRdEhCnEXHUlZz0HfutWHAybuV4mEoBJ-4,패배를까먹은사람,977,I,83,44,False,False,True,True
